TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,20,56.8,0.43,0.073,10.1,1.6,113,,,8.82,830,20190414_0255_MSWinston_kgwx
1,30,87.3,0.65,0.075,9.5,1.9,130,,,11.3,800,20190414_0406_MSMonroe_kgwx
1,21,58.8,0.63,0.052,12,2.3,115,,,8.48,700,20190414_0419_MSKemper_kdgx
1,9,48.6,0.65,0.042,11.5,1.9,113,,,6.13,400,20190414_0455_MSClarke_kdgx
1,12,45.7,0.38,0.067,7.7,1.3,125,,,17,800,20190414_2042_OHRichland_kcle
1,16,51,0.15,0.189,9.1,0.6,119,,,9.3,400,20190415_0738_DESussex_kdox
0,,43.2,1.27,0.019,,,115,,,11.38,1320,20190418_1859_MSHinds_kdgx
0,,56.3,1.76,0.018,,,115,,,13.09,1320,20190418_1906_MSHinds_kdgx
1,17,61.7,1.22,0.028,5,0.9,113,,,9.86,1000,20190418_2001_MSSimpson_kdgx
1,27,44.2,0.45,0.055,9.5,1.9,132,,,6.38,560,20190418_2031_MSScott_kdgx
1,21,57.3,0.21,0.149,13.7,2.1,159,,,8.2,250,20190419_1425_VAFranklin_kfcx
1,17,33,1.46,0.013,8.1,1.5,115,,,10.64,300,20190419_1748_SCOrangeburg_kcae
0,,34.4,2.21,0.009,,,118,,,2.91,250,20190419_1829_SCClarendon_kcae
1,25,44.7,0.72,0.034,10.5,1.6,115,,,12,600,20190419_2000_NCOrange_krax
1,6,25.7,1.59,0.009,5.3,1.4,120,,,3.5,75,20190419_2310_PAFranklin_klwx
1,6,31.6,0.91,0.019,5.1,0.4,135,,,3.1,200,20190419_2346_VACharles_City_kakq
0,,38.4,0.51,0.042,,,120,,,2,300,20190420_0006_VALouisa_klwx
1,11,23.3,0.46,0.028,7.1,1.4,120,,,1.6,100,20190424_2142_TXBrazos_kgrk
1,18,43.2,0.44,0.055,9.7,2.2,133,,,8.61,1100,20190425_0413_TXSan_Augustine_kshv
1,9,46.6,0.52,0.048,12.2,1.3,145,,,11.32,1000,20190425_0647_LALincoln_kshv
0,,22.8,1.58,0.008,,,112,,,16.24,2000,20190425_0742_LAMorehouse_kshv
1,22,42.3,0.45,0.052,12.7,2.2,125,,,8.81,700,20190425_0759_LALa_Salle_kpoe
1,24,58.3,0.44,0.074,11.2,1.5,120,,,9.8,1300,20190430_1944_OKWashington_kinx
1,16,60.7,0.78,0.043,14.2,0.8,134,,,10,400,20190501_0128_MOChristian_ksgf
1,11,52,0.51,0.057,12.4,2.2,115,,,10,1300,20190501_0341_OKPittsburg_ksrx
1,13,28.2,0.46,0.034,9,1.5,120,,,2.48,75,20190503_1404_TXFayette_kgrk
1,12,40.8,0.78,0.029,6,1.1,119,,,0.5,200,20190505_2238_NELancaster_koax
1,53,91.3,0.23,0.221,6.5,1.1,115,,,17.2,2110,20190505_2245_TXLynn_klbb
0,,46.6,0.36,0.072,,,118,,,13,400,20190508_0423_OKKiowa_kfdr
0,,41.8,0.66,0.035,,,122,,,6,350,20190517_2255_NERed_Willow_kgld
1,2,48.6,0.71,0.038,9.5,0.6,118,,,0.56,178,20190517_2358_NEFrontier_kgld
1,10,47.6,0.85,0.031,15.9,1.8,157,,,2.12,400,20190518_0005_NEFrontier_kuex
1,34,68.5,0.35,0.109,11.3,1.1,138,,,26.3,600,20190518_0137_KSMeade_kddc
1,39,83.7,0.42,0.111,13.5,1.3,134,,,14.9,875,20190518_0230_KSFord_kddc
1,14,50,0.32,0.087,6.2,0.7,127,,,10.9,565,20190518_0319_KSEdwards_kddc
1,14,45.7,0.19,0.134,2.6,0.8,132,,,2.2,250,20190518_0707_TXSchleicher_ksjt
1,33,86,0.32,0.149,3.3,0.8,125,,,18,1760,20190518_0957_TXTom_Green_ksjt
1,13,66.5,0.33,0.112,7.5,1.2,125,,,5.2,388,20190518_1043_TXTaylor_kdyx
1,22,85,0.45,0.105,13.5,1.2,145,,,18.9,1760,20190518_1152_TXConcho_ksjt
1,9,44.7,0.29,0.086,3.7,0.9,132,,,0.5,60,20190518_1237_OKComanche_kfdr
1,20,74.3,0.53,0.078,12.2,1.4,155,,,5.9,1760,20190518_1252_TXRunnels_ksjt
1,20,73.8,0.4,0.103,14.4,1.6,136,,,8.2,300,20190518_1320_TXColeman_kdyx
1,13,49.5,0.35,0.079,1.9,0.8,118,,,6.63,150,20190520_2352_TXMidland_kmaf
1,11,57.8,0.67,0.048,6.8,1.3,122,,,11,1200,20190520_2212_OKGreer_kfdr
1,23,75.4,0.95,0.044,9.4,2.8,115,,,21,2700,20190521_0329_OKCherokee_kinx
1,28,56.8,0.43,0.073,7.3,1.9,127,,,2.6,400,20190521_0933_OKPottawatomie_ktlx
1,24,51,0.7,0.04,7.4,1.3,115,,,17.18,75,20190521_2338_KSJackson_ktwx
